4051,500,2
5136,6,   7
2810,-1040,   27
3750,1400,    11
3818,1555,5
3987,-402,    19
4040,-368,    3
4070,2300,    1
4101,1651,    21
4138,-445,    9
4182,147,17
4190,1272,    22
4250,-810,    16
4350,133, 17
4400,600, 1
4475,1100,    19
4747,-83, 32
4750,175, 8
4849,688,9
4850,750, 14
4878,1143,20
4900,600, 30
4950,283, 16
4986,2027,    29
5003,2217,    15
5025,1900,    3
5033,1900,    9
5047,272, 18
5067,859,7
5078,15,  9
5086,1105,    26
5108,1640,    16
5112,1640,    25
5122,2257,    13
5125,2290,    10
5145,-10, 15
5147,755,8
5161,1947,    7
5167,500, 27
5178,1942,    33
5197,1147,    19
5200,467, 16
5222,2110,    4
5229,1674,    16
5233,1674,    10
5235,2100,    7
5236,1301,    3
5248,-189,    29
5250,1340,    16
5276,939,19
5308,1849,    9
5333,-800,20
5335,-626,    23
5350,-232,    15
5357,1000,    9
5380,-155,    13
5382,-1022,6
5420,1802,    8
5437,1802,    14
5440,-700,    19
5447,951, 14
5933,1817,    30
6200,2400,    19
